MaChinhSach,TenChinhSach,MaNhom,TenNhomDoiTuong,MucTroCapMacDinh,GhiChu
CSTC_ND176_NGUOI_TU_DU_70_TUO,"(NĐ176) Người từ đủ 70 tuổi đến dưới 75 tuổi thuộc hộ nghèo, hộ cận nghèo và không hưởng lương hưu hoặc trợ cấp bảo hiểm xã hội hằng tháng, hoặc đang hưởng lương hưu hoặc trợ cấp bảo hiểm xã hội hằng tháng thấp hơn mức trợ cấp hưu trí quy định.",NDT_ND176_NGUOI_TU_DU_70_TUO,"(NĐ176) Người từ đủ 70 tuổi đến dưới 75 tuổi thuộc hộ nghèo, hộ cận nghèo và không hưởng lương hưu hoặc trợ cấp bảo hiểm xã hội hằng tháng, hoặc đang hưởng lương hưu hoặc trợ cấp bảo hiểm xã hội hằng tháng thấp hơn mức trợ cấp hưu trí quy định.",4500000,Tạo từ nhóm 5.3 trong danh sách chi trả
CSTC_ND176_NGUOI_TU_DU_75_TUO,"(NĐ176) Người từ đủ 75 tuổi trở lên và không hưởng lương hưu hoặc trợ cấp bảo hiểm xã hội hằng tháng, hoặc đang hưởng lương hưu hoặc trợ cấp bảo hiểm xã hội hằng tháng thấp hơn mức trợ cấp hưu trí quy định",NDT_ND176_NGUOI_TU_DU_75_TUO,"(NĐ176) Người từ đủ 75 tuổi trở lên và không hưởng lương hưu hoặc trợ cấp bảo hiểm xã hội hằng tháng, hoặc đang hưởng lương hưu hoặc trợ cấp bảo hiểm xã hội hằng tháng thấp hơn mức trợ cấp hưu trí quy định",11500000,Tạo từ nhóm 5.2 trong danh sách chi trả
CSTC_ND176_NGUOI_TU_DU_75_TUO_EC16,"(NĐ176) Người từ đủ 75 tuổi trở lên và không hưởng lương hưu hoặc trợ cấp bảo hiểm xã hội hằng tháng, hoặc đang hưởng lương hưu hoặc trợ cấp bảo hiểm xã hội hằng tháng thấp hơn mức trợ cấp hưu trí quy định.",NDT_ND176_NGUOI_TU_DU_75_TUO_E547,"(NĐ176) Người từ đủ 75 tuổi trở lên và không hưởng lương hưu hoặc trợ cấp bảo hiểm xã hội hằng tháng, hoặc đang hưởng lương hưu hoặc trợ cấp bảo hiểm xã hội hằng tháng thấp hơn mức trợ cấp hưu trí quy định.",8000000,Tạo từ nhóm 5.2 trong danh sách chi trả
CSTC_CHAM_SOC_NKT_DAC_BIET_NA,"Chăm sóc: NKT đặc biệt nặng được nuôi dưỡng trực tiếp, chăm sóc",NDT_CHAM_SOC_NKT_DAC_BIET_NA,"Chăm sóc: NKT đặc biệt nặng được nuôi dưỡng trực tiếp, chăm sóc",500000,Tạo từ nhóm 7.7 trong danh sách chi trả
CSTC_NKT_NANG_LA_NCT,NKT nặng là NCT,NDT_NKT_NANG_LA_NCT,NKT nặng là NCT,3000000,Tạo từ nhóm 6.4 trong danh sách chi trả
CSTC_NKT_NANG_LA_TRE_EM,NKT nặng là Trẻ em,NDT_NKT_NANG_LA_TRE_EM,NKT nặng là Trẻ em,1000000,Tạo từ nhóm 6.8 trong danh sách chi trả
CSTC_NKT_NANG_LA_TRE_EM_8106,NKT nặng là trẻ em,NDT_NKT_NANG_LA_TRE_EM,NKT nặng là trẻ em,4000000,Tạo từ nhóm 6.8 trong danh sách chi trả
CSTC_NKT_NANG_TU_16_60_TUOI,NKT nặng từ 16-60 tuổi,NDT_NKT_NANG_TU_16_60_TUOI,NKT nặng từ 16-60 tuổi,750000,Tạo từ nhóm 6.3 trong danh sách chi trả
CSTC_NKT_DAC_BIET_NANG_LA_NCT,NKT đặc biệt nặng là NCT,NDT_NKT_DAC_BIET_NANG_LA_NCT,NKT đặc biệt nặng là NCT,2500000,Tạo từ nhóm 6.2 trong danh sách chi trả
CSTC_NKT_DAC_BIET_NANG_LA_NCT_2740,NKT đặc biệt nặng là NCT,NDT_NKT_DAC_BIET_NANG_LA_NCT,NKT đặc biệt nặng là NCT,2500000,Tạo từ nhóm 6.5 trong danh sách chi trả
CSTC_NKT_DAC_BIET_NANG_LA_TRE,NKT đặc biệt nặng là trẻ em,NDT_NKT_DAC_BIET_NANG_LA_TRE,NKT đặc biệt nặng là trẻ em,1250000,Tạo từ nhóm 6.7 trong danh sách chi trả
CSTC_NKT_DAC_BIET_NANG_TU_16_,NKT đặc biệt nặng từ 16-60 tuổi,NDT_NKT_DAC_BIET_NANG_TU_16_,NKT đặc biệt nặng từ 16-60 tuổi,2000000,Tạo từ nhóm 6.1 trong danh sách chi trả
CSTC_NQ_05_TRE_EM_TU_3_16_TUO,"NQ 05. Trẻ em từ 3-16 tuổi không nguồn nuôi dưỡng ( mô côi cha/ mẹ hoặc bị mất tích/ chấp hành án và người còn lại là NKT nặng/ đặc biệt nặng, Cả cha/mẹ là NKT nặng/đặc biệt nặng )",NDT_NQ_05_TRE_EM_TU_3_16_TUO,"NQ 05. Trẻ em từ 3-16 tuổi không nguồn nuôi dưỡng ( mô côi cha/ mẹ hoặc bị mất tích/ chấp hành án và người còn lại là NKT nặng/ đặc biệt nặng, Cả cha/mẹ là NKT nặng/đặc biệt nặng )",1500000,Tạo từ nhóm 1.6 trong danh sách chi trả
CSTC_NQ_90_TRE_EM_DUOI_3_TUOI,NQ 90. Trẻ em dưới 3 tuổi thuộc diện hộ nghèo/cận nghèo,NDT_NQ_90_TRE_EM_DUOI_3_TUOI,NQ 90. Trẻ em dưới 3 tuổi thuộc diện hộ nghèo/cận nghèo,3000000,Tạo từ nhóm 1.5 trong danh sách chi trả
CSTC_NGUOI_TU_16_22_TUOI_DANG,Người từ 16-22 tuổi đang đi học không có nguồn nuôi dưỡng,NDT_NGUOI_TU_16_22_TUOI_DANG,Người từ 16-22 tuổi đang đi học không có nguồn nuôi dưỡng,750000,Tạo từ nhóm 2.0 trong danh sách chi trả
