MaDiaBan,TenDiaBan,CapDiaBan,GhiChu
DB_BINH_NGHIA,Bình Nghĩa,Thôn/Khu vực,Tạo từ dữ liệu nguồn
DB_BINH_NHON,Bình Nhơn,Thôn/Khu vực,Tạo từ dữ liệu nguồn
DB_BINH_SON,Bình Sơn,Thôn/Khu vực,Tạo từ dữ liệu nguồn
DB_CHUA_XAC_DINH,Chưa xác định,Thôn/Khu vực,Tạo từ dữ liệu nguồn
DB_HOA_BINH,Hòa Bình,Thôn/Khu vực,Tạo từ dữ liệu nguồn
DB_SUOI_NHUOM,Suối Nhuôm,Thôn/Khu vực,Tạo từ dữ liệu nguồn
DB_SONG_KHIENG,Sông Khiêng,Thôn/Khu vực,Tạo từ dữ liệu nguồn
DB_THON_1,Thôn 1,Thôn/Khu vực,Tạo từ dữ liệu nguồn
DB_THON_2,Thôn 2,Thôn/Khu vực,Tạo từ dữ liệu nguồn
DB_TIEN_THANH,Tiến Thành,Thôn/Khu vực,Tạo từ dữ liệu nguồn
DB_TIEN_DAT,Tiến Đạt,Thôn/Khu vực,Tạo từ dữ liệu nguồn
DB_TU_SON,Tú Sơn,Thôn/Khu vực,Tạo từ dữ liệu nguồn
